1659518794.915506 2022-08-03 11:26:34,915 MainProcess-221120 MainThread-140308941870912 synthetic_client:27 <module> INFO: SYNTHETIC init_client
1659518794.916615 2022-08-03 11:26:34,916 MainProcess-221120 MainThread-140308941870912 funcx.sdk.login_manager.manager:104 _get_authorizer DEBUG: build authorizer for funcx_service
1659518794.916891 2022-08-03 11:26:34,916 MainProcess-221120 MainThread-140308941870912 globus_sdk.client:69 __init__ INFO: Creating client of type <class 'globus_sdk.services.auth.client.native_client.NativeAppAuthClient'> for service "auth"
1659518794.916960 2022-08-03 11:26:34,916 MainProcess-221120 MainThread-140308941870912 globus_sdk.config.env_vars:67 _load_var DEBUG: on lookup, default setting: GLOBUS_SDK_ENVIRONMENT=production
1659518794.917141 2022-08-03 11:26:34,917 MainProcess-221120 MainThread-140308941870912 globus_sdk.config.env_vars:67 _load_var DEBUG: on lookup, default setting: GLOBUS_SDK_VERIFY_SSL=True
1659518794.917190 2022-08-03 11:26:34,917 MainProcess-221120 MainThread-140308941870912 globus_sdk.config.env_vars:67 _load_var DEBUG: on lookup, default setting: GLOBUS_SDK_HTTP_TIMEOUT=60.0
1659518794.917236 2022-08-03 11:26:34,917 MainProcess-221120 MainThread-140308941870912 globus_sdk.client:80 __init__ DEBUG: initialized transport of type <class 'globus_sdk.transport.requests.RequestsTransport'>
1659518794.917272 2022-08-03 11:26:34,917 MainProcess-221120 MainThread-140308941870912 globus_sdk.config.environments:71 get_service_url DEBUG: Service URL Lookup for "auth" under env "production"
1659518794.917316 2022-08-03 11:26:34,917 MainProcess-221120 MainThread-140308941870912 globus_sdk.config.environments:85 get_service_url DEBUG: Service URL Lookup Result: "auth" is at "https://auth.globus.org/"
1659518794.917359 2022-08-03 11:26:34,917 MainProcess-221120 MainThread-140308941870912 globus_sdk.services.auth.client.native_client:39 __init__ INFO: Finished initializing client, client_id=4cf29807-cf21-49ec-9443-ff9a3fb9f81c
1659518794.917395 2022-08-03 11:26:34,917 MainProcess-221120 MainThread-140308941870912 globus_sdk.authorizers.refresh_token:63 __init__ INFO: Setting up RefreshTokenAuthorizer with auth_client=[instance:140308914131776]
1659518794.917427 2022-08-03 11:26:34,917 MainProcess-221120 MainThread-140308941870912 globus_sdk.authorizers.renewing:60 __init__ INFO: Setting up a RenewingAuthorizer. It will use an auth type of Bearer and can handle 401s.
1659518794.917470 2022-08-03 11:26:34,917 MainProcess-221120 MainThread-140308941870912 globus_sdk.authorizers.renewing:78 __init__ INFO: RenewingAuthorizer will start by using access_token with hash "0dab8991d77972506bcf1d69a7a26cdf5390d316cb16d693fef6f413336e1f61"
1659518794.917507 2022-08-03 11:26:34,917 MainProcess-221120 MainThread-140308941870912 globus_sdk.client:69 __init__ INFO: Creating client of type <class 'funcx.sdk.web_client.FuncxWebClient'> for service "funcx"
1659518794.917537 2022-08-03 11:26:34,917 MainProcess-221120 MainThread-140308941870912 globus_sdk.config.env_vars:67 _load_var DEBUG: on lookup, default setting: GLOBUS_SDK_ENVIRONMENT=production
1659518794.917632 2022-08-03 11:26:34,917 MainProcess-221120 MainThread-140308941870912 globus_sdk.config.env_vars:67 _load_var DEBUG: on lookup, default setting: GLOBUS_SDK_VERIFY_SSL=True
1659518794.917670 2022-08-03 11:26:34,917 MainProcess-221120 MainThread-140308941870912 globus_sdk.config.env_vars:67 _load_var DEBUG: on lookup, default setting: GLOBUS_SDK_HTTP_TIMEOUT=60.0
1659518794.917706 2022-08-03 11:26:34,917 MainProcess-221120 MainThread-140308941870912 globus_sdk.client:80 __init__ DEBUG: initialized transport of type <class 'globus_sdk.transport.requests.RequestsTransport'>
1659518794.917804 2022-08-03 11:26:34,917 MainProcess-221120 MainThread-140308941870912 globus_sdk.client:134 get DEBUG: GET to version with query_params {'service': 'all'}
1659518794.917855 2022-08-03 11:26:34,917 MainProcess-221120 MainThread-140308941870912 globus_sdk.client:291 request DEBUG: request will hit URL: https://api.dev.funcx.org/v2/version
1659518794.917907 2022-08-03 11:26:34,917 MainProcess-221120 MainThread-140308941870912 globus_sdk.transport.requests:308 request DEBUG: starting request for https://api.dev.funcx.org/v2/version
1659518794.918090 2022-08-03 11:26:34,918 MainProcess-221120 MainThread-140308941870912 globus_sdk.transport.requests:312 request DEBUG: transport request state initialized
1659518794.918132 2022-08-03 11:26:34,918 MainProcess-221120 MainThread-140308941870912 globus_sdk.transport.requests:314 request DEBUG: transport request retry cycle. attempt=0
1659518794.918329 2022-08-03 11:26:34,918 MainProcess-221120 MainThread-140308941870912 globus_sdk.authorizers.renewing:149 ensure_valid_token DEBUG: RenewingAuthorizer checking expiration time
1659518794.918360 2022-08-03 11:26:34,918 MainProcess-221120 MainThread-140308941870912 globus_sdk.authorizers.renewing:157 ensure_valid_token DEBUG: RenewingAuthorizer determined time has not yet expired
1659518794.918387 2022-08-03 11:26:34,918 MainProcess-221120 MainThread-140308941870912 globus_sdk.authorizers.renewing:170 get_authorization_header DEBUG: bearer token has hash "0dab8991d77972506bcf1d69a7a26cdf5390d316cb16d693fef6f413336e1f61"
1659518794.918418 2022-08-03 11:26:34,918 MainProcess-221120 MainThread-140308941870912 globus_sdk.transport.requests:322 request DEBUG: request about to send
1659518794.919494 2022-08-03 11:26:34,919 MainProcess-221120 MainThread-140308941870912 urllib3.connectionpool:1001 _new_conn DEBUG: Starting new HTTPS connection (1): api.dev.funcx.org:443
1659518795.712080 2022-08-03 11:26:35,712 MainProcess-221120 MainThread-140308941870912 urllib3.connectionpool:456 _make_request DEBUG: https://api.dev.funcx.org:443 "GET /v2/version?service=all HTTP/1.1" 200 82
1659518795.713185 2022-08-03 11:26:35,713 MainProcess-221120 MainThread-140308941870912 globus_sdk.transport.requests:338 request DEBUG: request success, still check should-retry
1659518795.713412 2022-08-03 11:26:35,713 MainProcess-221120 MainThread-140308941870912 globus_sdk.transport.retry:138 should_retry DEBUG: ran retry check (default_check_expired_authorization) => RetryCheckResult.no_decision
1659518795.713587 2022-08-03 11:26:35,713 MainProcess-221120 MainThread-140308941870912 globus_sdk.transport.retry:138 should_retry DEBUG: ran retry check (default_check_request_exception) => RetryCheckResult.no_decision
1659518795.713702 2022-08-03 11:26:35,713 MainProcess-221120 MainThread-140308941870912 globus_sdk.transport.retry:138 should_retry DEBUG: ran retry check (default_check_retry_after_header) => RetryCheckResult.no_decision
1659518795.713802 2022-08-03 11:26:35,713 MainProcess-221120 MainThread-140308941870912 globus_sdk.transport.retry:138 should_retry DEBUG: ran retry check (default_check_transient_error) => RetryCheckResult.no_decision
1659518795.713892 2022-08-03 11:26:35,713 MainProcess-221120 MainThread-140308941870912 globus_sdk.transport.requests:340 request INFO: request done (success)
1659518795.713979 2022-08-03 11:26:35,713 MainProcess-221120 MainThread-140308941870912 globus_sdk.client:303 request DEBUG: request made to URL: https://api.dev.funcx.org/v2/version?service=all
1659518795.714068 2022-08-03 11:26:35,714 MainProcess-221120 MainThread-140308941870912 globus_sdk.client:306 request DEBUG: request completed with response code: 200
1659518795.714742 2022-08-03 11:26:35,714 MainProcess-221120 MainThread-140308941870912 asyncio:59 __init__ DEBUG: Using selector: EpollSelector
1659518795.715375 2022-08-03 11:26:35,715 MainProcess-221120 MainThread-140308941870912 funcx.sdk.executor:131 __init__ INFO: Batch submission enabled.
1659518795.716370 2022-08-03 11:26:35,716 MainProcess-221120 MainThread-140308941870912 funcx.sdk.executor:166 start_batching_thread INFO: Started task submit thread
1659518795.716581 2022-08-03 11:26:35,716 MainProcess-221120 MainThread-140308941870912 synthetic_client:32 <module> INFO: SYNTHETICBIND 99340f18-7a58-4f85-bea5-915ba16a3ea9
1659518795.716679 2022-08-03 11:26:35,716 MainProcess-221120 MainThread-140308941870912 synthetic_client:53 <module> INFO: SYNTHETIC submit_start
1659518795.716790 2022-08-03 11:26:35,716 MainProcess-221120 MainThread-140308941870912 synthetic_client:57 <module> INFO: FUNC 3000 submit
1659518795.716905 2022-08-03 11:26:35,716 MainProcess-221120 MainThread-140308941870912 funcx.sdk.executor:171 register_function DEBUG: Function:<function delay at 0x7f9c36fdac10> is not registered. Registering
1659518795.728825 2022-08-03 11:26:35,728 MainProcess-221120 MainThread-140308941870912 funcx.sdk.client:620 register_function INFO: Registering function : FunctionRegistrationData({"function_name": "delay", "function_code": "376\n01\ngASVCAEAAAAAAACMCmRpbGwuX2RpbGyUjBBfY3JlYXRlX2Z1bmN0aW9ulJOUKGgAjAxfY3JlYXRl\nX2NvZGWUk5QoSwFLAEsASwVLA0tDQyZkAWQAbAB9AXwBoAChAH0CfAB9A3wBoAChAH0EfAJ8BHwD\nZgNTAJROSwCGlIwEdGltZZSFlCiMAWSUaAeMCnN0YXJ0X3RpbWWUjAhkdXJhdGlvbpSMCGVuZF90\naW1llHSUjAdtYWluLnB5lIwFZGVsYXmUSyhDCgACCAIIAQQDCAGUKSl0lFKUY19fYnVpbHRpbl9f\nCl9fbWFpbl9fCmgPTk50lFKUfZR9lIwPX19hbm5vdGF0aW9uc19flH2Uc4aUYi4=\n", "function_source": "def delay(d):\n    # raise RuntimeError(\"BENC deliberate error\")\n    import time\n    # import random\n    start_time=time.time()\n    duration = d\n    # duration = 5 + random.random() * 5\n    # time.sleep(duration)\n    end_time=time.time()\n    return (start_time, end_time, duration)\n", "container_uuid": null, "entry_point": "delay", "description": null, "public": false, "group": null, "searchable": true})
1659518795.728995 2022-08-03 11:26:35,728 MainProcess-221120 MainThread-140308941870912 globus_sdk.client:154 post DEBUG: POST to /functions with query_params None
1659518795.729090 2022-08-03 11:26:35,729 MainProcess-221120 MainThread-140308941870912 globus_sdk.client:291 request DEBUG: request will hit URL: https://api.dev.funcx.org/v2/functions
1659518795.729220 2022-08-03 11:26:35,729 MainProcess-221120 MainThread-140308941870912 globus_sdk.transport.requests:308 request DEBUG: starting request for https://api.dev.funcx.org/v2/functions
1659518795.729319 2022-08-03 11:26:35,729 MainProcess-221120 MainThread-140308941870912 globus_sdk.transport.requests:312 request DEBUG: transport request state initialized
1659518795.729375 2022-08-03 11:26:35,729 MainProcess-221120 MainThread-140308941870912 globus_sdk.transport.requests:314 request DEBUG: transport request retry cycle. attempt=0
1659518795.729433 2022-08-03 11:26:35,729 MainProcess-221120 MainThread-140308941870912 globus_sdk.authorizers.renewing:149 ensure_valid_token DEBUG: RenewingAuthorizer checking expiration time
1659518795.729485 2022-08-03 11:26:35,729 MainProcess-221120 MainThread-140308941870912 globus_sdk.authorizers.renewing:157 ensure_valid_token DEBUG: RenewingAuthorizer determined time has not yet expired
1659518795.729535 2022-08-03 11:26:35,729 MainProcess-221120 MainThread-140308941870912 globus_sdk.authorizers.renewing:170 get_authorization_header DEBUG: bearer token has hash "0dab8991d77972506bcf1d69a7a26cdf5390d316cb16d693fef6f413336e1f61"
1659518795.729589 2022-08-03 11:26:35,729 MainProcess-221120 MainThread-140308941870912 globus_sdk.transport.requests:322 request DEBUG: request about to send
1659518796.971738 2022-08-03 11:26:36,971 MainProcess-221120 MainThread-140308941870912 urllib3.connectionpool:456 _make_request DEBUG: https://api.dev.funcx.org:443 "POST /v2/functions HTTP/1.1" 200 57
1659518796.972650 2022-08-03 11:26:36,972 MainProcess-221120 MainThread-140308941870912 globus_sdk.transport.requests:338 request DEBUG: request success, still check should-retry
1659518796.972853 2022-08-03 11:26:36,972 MainProcess-221120 MainThread-140308941870912 globus_sdk.transport.retry:138 should_retry DEBUG: ran retry check (default_check_expired_authorization) => RetryCheckResult.no_decision
1659518796.972980 2022-08-03 11:26:36,972 MainProcess-221120 MainThread-140308941870912 globus_sdk.transport.retry:138 should_retry DEBUG: ran retry check (default_check_request_exception) => RetryCheckResult.no_decision
1659518796.973085 2022-08-03 11:26:36,973 MainProcess-221120 MainThread-140308941870912 globus_sdk.transport.retry:138 should_retry DEBUG: ran retry check (default_check_retry_after_header) => RetryCheckResult.no_decision
1659518796.973202 2022-08-03 11:26:36,973 MainProcess-221120 MainThread-140308941870912 globus_sdk.transport.retry:138 should_retry DEBUG: ran retry check (default_check_transient_error) => RetryCheckResult.no_decision
1659518796.973284 2022-08-03 11:26:36,973 MainProcess-221120 MainThread-140308941870912 globus_sdk.transport.requests:340 request INFO: request done (success)
1659518796.973367 2022-08-03 11:26:36,973 MainProcess-221120 MainThread-140308941870912 globus_sdk.client:303 request DEBUG: request made to URL: https://api.dev.funcx.org/v2/functions
1659518796.973454 2022-08-03 11:26:36,973 MainProcess-221120 MainThread-140308941870912 globus_sdk.client:306 request DEBUG: request completed with response code: 200
1659518796.973607 2022-08-03 11:26:36,973 MainProcess-221120 MainThread-140308941870912 funcx.sdk.executor:183 register_function DEBUG: Function registered with id:29b8cdfc-66fb-4189-92f8-14941b9b3180
